t,count,cov,wcount,speed,dirx,diry,consist,g0,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13,g14,g15
13.0,64,0.09444233775138855,37.235015869140625,18.154418884018494,0.7793748552004605,-0.2791229542554128,0.8278494962920543,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,27.0,21.0,0.0,10.0,0.0,0.0,0.0,0.0
14.0,48,0.10165847837924957,28.890684127807617,11.187412247497848,-0.1882740640371111,-0.37764954419585,0.4219790295978978,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,16.0,13.0,0.0,13.0,0.0,1.0,0.0,0.0
15.0,47,0.06008555367588997,28.052066802978516,12.184955502745433,-0.26931273947659945,-0.4007860533001396,0.48286521117625886,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,15.0,19.0,3.0,4.0,0.0,0.0,1.0,0.0
16.0,54,0.06916826963424683,33.97856903076172,13.613349998368179,0.08553180389559059,-0.3471968862837467,0.3575770788554024,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,12.0,10.0,6.0,15.0,0.0,0.0,2.0,1.0
17.0,69,0.09501361101865768,41.16718292236328,17.386402109246724,0.08459419270409217,-0.3326777617246233,0.34326472377068157,0.0,0.0,0.0,0.0,5.0,11.0,0.0,0.0,18.0,14.0,6.0,14.0,0.0,1.0,0.0,0.0
18.0,58,0.09515126049518585,36.94425964355469,20.295758555468453,0.08753763894843128,-0.28973291095636794,0.3026681316622491,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,14.0,9.0,7.0,18.0,1.0,2.0,2.0,0.0
19.0,55,0.09446346014738083,31.973981857299805,12.559532613396293,-0.03852564645111999,-0.3326613659087287,0.33488477093283564,0.0,0.0,0.0,1.0,6.0,3.0,0.0,0.0,15.0,24.0,3.0,1.0,0.0,0.0,0.0,2.0
20.0,63,0.078793004155159,36.534542083740234,13.039722362461744,-0.3718354793210826,-0.4053647151573948,0.550074700360392,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,19.0,12.0,5.0,5.0,0.0,0.0,6.0,0.0
21.0,58,0.07475690543651581,36.49090576171875,24.65062972494245,0.008431823067012113,-0.42192064273906515,0.42200488671291386,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,17.0,15.0,8.0,6.0,1.0,2.0,3.0,1.0
22.0,93,0.12374456971883774,55.9575309753418,14.218711672631262,-0.03292678637398073,-0.4152033229161045,0.4165068698370925,0.0,0.0,0.0,0.0,7.0,8.0,0.0,0.0,23.0,28.0,6.0,14.0,0.0,3.0,0.0,4.0
23.0,61,0.07328470051288605,37.2197265625,17.601271879931872,0.043031655915225946,-0.2940805026117365,0.2972121555844881,0.0,0.0,0.0,0.0,5.0,2.0,0.0,1.0,21.0,14.0,6.0,8.0,0.0,0.0,2.0,2.0
24.0,60,0.06977412104606628,36.54981994628906,17.969122776093908,0.4668877292570991,-0.18652888163119022,0.5027695052540805,0.0,0.0,0.0,0.0,1.0,8.0,0.0,2.0,17.0,17.0,4.0,6.0,1.0,0.0,2.0,2.0
25.0,63,0.07218292355537415,38.849117279052734,20.490464431416594,0.38460713843773714,-0.23168917212647494,0.4490016964532718,0.0,0.0,0.0,0.0,3.0,6.0,0.0,1.0,15.0,20.0,7.0,7.0,0.0,1.0,1.0,2.0
26.0,65,0.1258705109357834,39.499656677246094,18.04544607094796,0.2866176761695141,-0.26865765271525643,0.3928442778701044,0.0,0.0,0.0,1.0,7.0,5.0,0.0,1.0,14.0,15.0,8.0,6.0,0.0,2.0,3.0,3.0
27.0,64,0.12619934976100922,38.042572021484375,16.674345329501584,0.245430183134285,-0.02300716765074664,0.24650619577738453,0.0,0.0,0.0,1.0,5.0,9.0,0.0,0.0,16.0,12.0,7.0,7.0,0.0,2.0,3.0,2.0
