t,count,cov,wcount,speed,dirx,diry,consist,g0,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13,g14,g15,count_sma5,count_res5,count_std5,count_z5,cov_sma5,cov_res5,cov_std5,cov_z5,wcount_sma5,wcount_res5,wcount_std5,wcount_z5,speed_sma5,speed_res5,speed_std5,speed_z5,dirx_sma5,dirx_res5,dirx_std5,dirx_z5,diry_sma5,diry_res5,diry_std5,diry_z5,consist_sma5,consist_res5,consist_std5,consist_z5,count_sma10,count_res10,count_std10,count_z10,cov_sma10,cov_res10,cov_std10,cov_z10,wcount_sma10,wcount_res10,wcount_std10,wcount_z10,speed_sma10,speed_res10,speed_std10,speed_z10,dirx_sma10,dirx_res10,dirx_std10,dirx_z10,diry_sma10,diry_res10,diry_std10,diry_z10,consist_sma10,consist_res10,consist_std10,consist_z10
20.0,79,0.21656586229801178,31.709959030151367,36.68593613280314,-0.3667911074197987,-0.7142770673240699,0.8029492171907986,0.0,0.0,0.0,8.0,0.0,0.0,10.0,46.0,1.0,1.0,4.0,6.0,1.0,2.0,0.0,0.0,89.4000,-10.4000,15.1592,-0.6861,0.2411,-0.0245,0.0189,-1.2991,36.4558,-4.7459,5.5254,-0.8589,50.4483,-13.7624,18.9229,-0.7273,0.1904,-0.5572,0.4486,-1.2420,0.0164,-0.7307,0.4580,-1.5953,0.5750,0.2280,0.2086,1.0931,101.7000,-22.7000,19.7543,-1.1491,0.2309,-0.0143,0.0213,-0.6737,39.9438,-8.2338,5.9659,-1.3801,52.7462,-16.0603,17.4472,-0.9205,0.0420,-0.4088,0.6065,-0.6741,0.0271,-0.7414,0.4472,-1.6580,0.6911,0.1119,0.1999,0.5598
21.0,79,0.21656586229801178,31.709959030151367,55.814284778084605,0.43764850627912655,0.013261080627427622,0.43784937056910084,0.0,0.0,0.0,8.0,0.0,0.0,10.0,46.0,1.0,1.0,4.0,6.0,1.0,2.0,0.0,0.0,84.0000,-5.0000,12.3085,-0.4062,0.2375,-0.0210,0.0219,-0.9586,34.3000,-2.5900,4.6099,-0.5618,45.3438,10.4705,9.7045,1.0789,0.1232,0.3144,0.3549,0.8860,0.0040,0.0092,0.4569,0.0202,0.5071,-0.0693,0.1795,-0.3858,101.0000,-22.0000,20.4831,-1.0741,0.2324,-0.0158,0.0195,-0.8126,39.5503,-7.8403,6.3953,-1.2259,54.3007,1.5136,16.8958,0.0896,0.1692,0.2684,0.5310,0.5055,0.0676,-0.0543,0.4227,-0.1285,0.6427,-0.2048,0.1964,-1.0430
22.0,63,0.21863135695457458,26.17291831970215,54.749370896319085,-0.8143138748082238,0.5409001792530824,0.977588916989754,0.0,0.0,0.0,9.0,0.0,0.0,8.0,31.0,1.0,2.0,4.0,5.0,1.0,2.0,0.0,0.0,75.4000,-12.4000,6.9498,-1.7842,0.2344,-0.0158,0.0235,-0.6712,31.0368,-4.8638,2.7726,-1.7542,48.2412,6.5082,9.9672,0.6530,-0.0791,-0.7353,0.5414,-1.3580,0.0608,0.4801,0.5107,0.9401,0.6379,0.3397,0.2404,1.4132,94.7000,-31.7000,21.5976,-1.4678,0.2300,-0.0114,0.0195,-0.5811,37.5861,-11.4132,7.2206,-1.5806,51.7441,3.0052,14.2491,0.2109,0.1795,-0.9939,0.5080,-1.9563,0.1373,0.4036,0.4389,0.9196,0.6474,0.3302,0.2044,1.6153
23.0,63,0.21863135695457458,26.17291831970215,55.47178656150681,-0.8652853307986657,0.12170465308414664,0.8738024526617494,0.0,0.0,0.0,9.0,0.0,0.0,8.0,31.0,1.0,2.0,4.0,5.0,1.0,2.0,0.0,0.0,72.4000,-9.4000,8.5907,-1.0942,0.2261,-0.0075,0.0191,-0.3923,29.7122,-3.5393,3.2612,-1.0853,48.1457,7.3261,9.8768,0.7417,-0.3424,-0.5228,0.5390,-0.9699,0.0937,0.0280,0.5076,0.0552,0.7219,0.1519,0.2332,0.6513,88.4000,-25.4000,20.6193,-1.2319,0.2276,-0.0090,0.0193,-0.4645,35.6219,-9.4490,7.4027,-1.2764,53.5168,1.9550,13.3909,0.1460,0.0975,-0.9628,0.6052,-1.5908,0.0738,0.0479,0.3814,0.1257,0.6589,0.2149,0.2144,1.0021
24.0,83,0.21345917880535126,29.28522300720215,96.15123021184624,-0.5344400924654,-0.7486626318398487,0.9198488727762807,0.0,0.0,1.0,13.0,0.0,0.0,14.0,42.0,0.0,4.0,2.0,3.0,2.0,1.0,0.0,1.0,73.4000,9.6000,9.6333,0.9965,0.2168,-0.0033,0.0021,-1.5615,29.0102,0.2750,2.7728,0.0992,59.7745,36.3767,21.8849,1.6622,-0.4286,-0.1058,0.5256,-0.2013,-0.1574,-0.5912,0.5600,-1.0558,0.8024,0.1174,0.2136,0.5498,85.1000,-2.1000,18.2114,-0.1153,0.2281,-0.0146,0.0188,-0.7791,34.0562,-4.7710,6.8473,-0.6968,57.9008,38.2504,18.9675,2.0166,-0.0160,-0.5184,0.6068,-0.8543,-0.0329,-0.7157,0.4487,-1.5950,0.6829,0.2369,0.2299,1.0306
25.0,83,0.21345917880535126,29.28522300720215,236.35778187764103,-0.9943259104465597,0.03907668186835707,0.9950934645806999,0.0,0.0,1.0,13.0,0.0,0.0,14.0,42.0,0.0,4.0,2.0,3.0,2.0,1.0,0.0,1.0,74.2000,8.8000,10.3537,0.8499,0.2161,-0.0027,0.0026,-1.0357,28.5252,0.7600,2.3646,0.3214,99.7089,136.6489,78.4069,1.7428,-0.5541,-0.4402,0.5793,-0.7599,-0.0067,0.0458,0.4662,0.0983,0.8408,0.1543,0.2303,0.6697,81.8000,1.2000,14.6272,0.0820,0.2286,-0.0151,0.0183,-0.8295,32.4905,-3.2053,5.7900,-0.5536,75.0786,161.2792,59.7117,2.7010,-0.1819,-0.8125,0.6266,-1.2967,0.0048,0.0342,0.4359,0.0786,0.7079,0.2872,0.2501,1.1483
26.0,120,0.24957726895809174,34.77432632446289,41.05399523027077,-0.7971530329162111,0.19161424606858646,0.8198591203273564,0.0,0.0,13.0,39.0,1.0,5.0,39.0,12.0,2.0,2.0,2.0,1.0,3.0,1.0,0.0,0.0,82.4000,37.6000,23.2766,1.6154,0.2228,0.0268,0.0152,1.7627,29.1381,5.6362,3.5141,1.6039,96.7568,-55.7028,80.7166,-0.6901,-0.8011,0.0040,0.1679,0.0235,0.0289,0.1627,0.4749,0.3426,0.9172,-0.0974,0.0726,-1.3414,83.2000,36.8000,17.5740,2.0940,0.2301,0.0194,0.0194,1.0022,31.7191,3.0553,4.7260,0.6465,71.0503,-29.9963,60.5949,-0.4950,-0.3389,-0.4582,0.5530,-0.8286,0.0165,0.1751,0.4395,0.3985,0.7122,0.1077,0.2518,0.4277
27.0,120,0.24957726895809174,34.77432632446289,55.823897601684344,0.4182716805909887,0.39322797887015837,0.5740900993317336,0.0,0.0,13.0,39.0,1.0,5.0,39.0,12.0,2.0,2.0,2.0,1.0,3.0,1.0,0.0,0.0,93.8000,26.2000,25.2725,1.0367,0.2289,0.0206,0.0190,1.0886,30.8584,3.9159,3.7938,1.0322,96.9717,-41.1478,80.5781,-0.5107,-0.5546,0.9729,0.5691,1.7094,-0.0006,0.3938,0.4382,0.8987,0.8365,-0.2624,0.1602,-1.6385,84.6000,35.4000,19.9844,1.7714,0.2317,0.0179,0.0203,0.8802,30.9476,3.8267,3.1341,1.2210,72.6065,-16.7826,59.9123,-0.2801,-0.3168,0.7351,0.5806,1.2662,0.0301,0.3631,0.4498,0.8073,0.7372,-0.1631,0.2192,-0.7441
28.0,73,0.10746414959430695,32.425323486328125,190.69309403079936,-0.7325799859802793,0.23217605912045025,0.7684914822478965,0.0,0.0,0.0,0.0,0.0,11.0,42.0,6.0,2.0,6.0,4.0,1.0,1.0,0.0,0.0,0.0,95.8000,-22.8000,22.4655,-1.0149,0.2067,-0.0992,0.0583,-1.7010,32.1089,0.3164,2.7502,0.1151,124.0160,66.6771,85.6969,0.7781,-0.5280,-0.2045,0.5539,-0.3693,0.0215,0.2107,0.4486,0.4697,0.8155,-0.0470,0.1610,-0.2919,84.1000,-11.1000,20.2290,-0.5487,0.2164,-0.1089,0.0422,-2.5830,30.9106,1.5148,3.1119,0.4868,86.0809,104.6122,70.0450,1.4935,-0.4352,-0.2973,0.5245,-0.5669,0.0576,0.1746,0.4532,0.3852,0.7687,-0.0002,0.1953,-0.0010
29.0,73,0.10746414959430695,32.425323486328125,183.99436621545817,0.6636490698135562,-0.2332451436113945,0.7034439458000179,0.0,0.0,0.0,0.0,0.0,11.0,42.0,6.0,2.0,6.0,4.0,1.0,1.0,0.0,0.0,0.0,93.8000,-20.8000,24.2631,-0.8573,0.1855,-0.0780,0.0728,-1.0727,32.7369,-0.3116,2.2589,-0.1379,141.5846,42.4097,87.5407,0.4845,-0.2884,0.9521,0.7682,1.2394,0.1246,-0.3578,0.2364,-1.5134,0.7722,-0.0688,0.1549,-0.4439,83.6000,-10.6000,20.4570,-0.5182,0.2011,-0.0937,0.0512,-1.8280,30.8736,1.5518,3.0891,0.5023,100.6796,83.3148,74.0132,1.1257,-0.3585,1.0222,0.6249,1.6358,-0.0164,-0.2168,0.4316,-0.5023,0.7873,-0.0839,0.1766,-0.4748
30.0,64,0.10634831339120865,27.078330993652344,48.89472283886355,-0.16025865316912333,0.9074952912834338,0.9215370527641228,0.0,0.0,0.0,0.0,0.0,5.0,28.0,18.0,0.0,6.0,4.0,0.0,1.0,0.0,1.0,1.0,90.0000,-26.0000,27.6315,-0.9410,0.1641,-0.0577,0.0780,-0.7398,32.2955,-5.2172,3.1441,-1.6594,104.0920,-55.1973,76.2143,-0.7242,-0.1216,-0.0386,0.6594,-0.0586,0.2983,0.6092,0.4118,1.4793,0.7575,0.1641,0.1299,1.2631,82.1000,-18.1000,21.3617,-0.8473,0.1901,-0.0838,0.0588,-1.4235,30.4104,-3.3321,3.2905,-1.0126,101.9005,-53.0057,72.9331,-0.7268,-0.3379,0.1776,0.6280,0.2828,0.1458,0.7617,0.4448,1.7127,0.7992,0.1224,0.1817,0.6736
31.0,64,0.10634831339120865,27.078330993652344,148.22033891371973,0.28838698876060215,-0.04499208108823149,0.29187556020855476,0.0,0.0,0.0,0.0,0.0,5.0,28.0,18.0,0.0,6.0,4.0,0.0,1.0,0.0,1.0,1.0,78.8000,-14.8000,23.4670,-0.6307,0.1354,-0.0291,0.0638,-0.4559,30.7563,-3.6780,3.4918,-1.0533,125.5253,22.6951,68.7588,0.3301,0.0955,0.1929,0.5512,0.3499,0.2509,-0.2959,0.4398,-0.6729,0.6519,-0.3600,0.2370,-1.5192,80.6000,-16.6000,22.1169,-0.7506,0.1791,-0.0727,0.0635,-1.1459,29.9472,-2.8689,3.4110,-0.8411,111.1411,37.0793,72.2963,0.5129,-0.3528,0.6412,0.6090,1.0529,0.1399,-0.1849,0.4471,-0.4136,0.7846,-0.4927,0.2165,-2.2760
