t,count,cov,wcount,speed,dirx,diry,consist,g0,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13,g14,g15
22.0,63,0.21863135695457458,26.17291831970215,54.749370896319085,-0.8143138748082238,0.5409001792530824,0.977588916989754,0.0,0.0,0.0,9.0,0.0,0.0,8.0,31.0,1.0,2.0,4.0,5.0,1.0,2.0,0.0,0.0
23.0,63,0.21863135695457458,26.17291831970215,55.47178656150681,-0.8652853307986657,0.12170465308414664,0.8738024526617494,0.0,0.0,0.0,9.0,0.0,0.0,8.0,31.0,1.0,2.0,4.0,5.0,1.0,2.0,0.0,0.0
24.0,83,0.21345917880535126,29.28522300720215,96.15123021184624,-0.5344400924654,-0.7486626318398487,0.9198488727762807,0.0,0.0,1.0,13.0,0.0,0.0,14.0,42.0,0.0,4.0,2.0,3.0,2.0,1.0,0.0,1.0
25.0,83,0.21345917880535126,29.28522300720215,236.35778187764103,-0.9943259104465597,0.03907668186835707,0.9950934645806999,0.0,0.0,1.0,13.0,0.0,0.0,14.0,42.0,0.0,4.0,2.0,3.0,2.0,1.0,0.0,1.0
26.0,120,0.24957726895809174,34.77432632446289,41.05399523027077,-0.7971530329162111,0.19161424606858646,0.8198591203273564,0.0,0.0,13.0,39.0,1.0,5.0,39.0,12.0,2.0,2.0,2.0,1.0,3.0,1.0,0.0,0.0
27.0,120,0.24957726895809174,34.77432632446289,55.823897601684344,0.4182716805909887,0.39322797887015837,0.5740900993317336,0.0,0.0,13.0,39.0,1.0,5.0,39.0,12.0,2.0,2.0,2.0,1.0,3.0,1.0,0.0,0.0
28.0,73,0.10746414959430695,32.425323486328125,190.69309403079936,-0.7325799859802793,0.23217605912045025,0.7684914822478965,0.0,0.0,0.0,0.0,0.0,11.0,42.0,6.0,2.0,6.0,4.0,1.0,1.0,0.0,0.0,0.0
29.0,73,0.10746414959430695,32.425323486328125,183.99436621545817,0.6636490698135562,-0.2332451436113945,0.7034439458000179,0.0,0.0,0.0,0.0,0.0,11.0,42.0,6.0,2.0,6.0,4.0,1.0,1.0,0.0,0.0,0.0
30.0,64,0.10634831339120865,27.078330993652344,48.89472283886355,-0.16025865316912333,0.9074952912834338,0.9215370527641228,0.0,0.0,0.0,0.0,0.0,5.0,28.0,18.0,0.0,6.0,4.0,0.0,1.0,0.0,1.0,1.0
31.0,64,0.10634831339120865,27.078330993652344,148.22033891371973,0.28838698876060215,-0.04499208108823149,0.29187556020855476,0.0,0.0,0.0,0.0,0.0,5.0,28.0,18.0,0.0,6.0,4.0,0.0,1.0,0.0,1.0,1.0
32.0,110,0.17768068611621857,36.726131439208984,84.54353393340844,-0.8795224433583009,0.37956101802359765,0.9579281261003173,0.0,0.0,4.0,20.0,0.0,4.0,36.0,36.0,0.0,4.0,3.0,0.0,1.0,2.0,0.0,0.0
33.0,110,0.17768068611621857,36.726131439208984,142.65246524719234,-0.7796076867890235,0.5721036671188048,0.9670009054966372,0.0,0.0,4.0,20.0,0.0,4.0,36.0,36.0,0.0,4.0,3.0,0.0,1.0,2.0,0.0,0.0
34.0,108,0.21773377060890198,51.643741607666016,58.228748051305864,-0.6943526489039981,0.6713736243067038,0.9658509949545622,0.0,0.0,0.0,0.0,0.0,4.0,48.0,23.0,4.0,7.0,7.0,11.0,1.0,1.0,2.0,0.0
35.0,108,0.21773377060890198,51.643741607666016,124.25833125676384,0.8582618404578317,0.11601422432019136,0.8660673686444261,0.0,0.0,0.0,0.0,0.0,4.0,48.0,23.0,4.0,7.0,7.0,11.0,1.0,1.0,2.0,0.0
36.0,92,0.1788116693496704,37.066444396972656,112.12761296269554,0.7429574260977947,-0.6023597759853331,0.956463818823776,0.0,0.0,0.0,9.0,0.0,1.0,11.0,54.0,0.0,2.0,3.0,6.0,2.0,2.0,0.0,2.0
37.0,92,0.1788116693496704,37.066444396972656,69.30133334304993,-0.9304845454998748,0.28435218221478836,0.9729633358685315,0.0,0.0,0.0,9.0,0.0,1.0,11.0,54.0,0.0,2.0,3.0,6.0,2.0,2.0,0.0,2.0
38.0,86,0.16777090728282928,38.330345153808594,34.31915687948337,0.3258151432627205,0.7269407010732164,0.7966167776642207,0.0,0.0,0.0,0.0,0.0,3.0,18.0,50.0,0.0,3.0,2.0,4.0,1.0,2.0,1.0,2.0
39.0,86,0.16777090728282928,38.330345153808594,19.71713219811637,0.15711429715267444,0.6019939541661958,0.6221588408295994,0.0,0.0,0.0,0.0,0.0,3.0,18.0,50.0,0.0,3.0,2.0,4.0,1.0,2.0,1.0,2.0
40.0,80,0.14821065962314606,36.829750061035156,53.03839899680929,-0.9444997850402697,-0.15133425785789228,0.9565468632233941,0.0,0.0,0.0,0.0,0.0,2.0,19.0,35.0,1.0,5.0,8.0,7.0,0.0,1.0,1.0,1.0
